#,Keyword,Volume (CA),Currently ranking,Live target URL on oberizonconstruction.ca,Verdict / what actually moves it
1,medical clinic contractor,0.0,No,https://www.oberizonconstruction.ca/services/medical-clinic-construction/,Live service hub; 'medical clinic contractor' already in page keywords + H1 subject.
2,clinic design build contractor BC,0.0,No,https://www.oberizonconstruction.ca/services/medical-clinic-construction/ + https://www.oberizonconstruction.ca/blog/design-build-vs-general-contracting/,Design-build model covered by dedicated post + service hub.
3,medical office contractor BC,0.0,Yes (~#6),https://www.oberizonconstruction.ca/construction/north-vancouver/medical-clinic-construction/,"Already ranking ~#6. Defend with project proof, not new content."
4,pharmacy renovation contractor,0.0,No,https://www.oberizonconstruction.ca/services/pharmacy-construction/,Live service hub. Sheet said 'NEW PAGE BUILT' - confirmed live.
5,"""clinic construction experts""",0.0,No,https://www.oberizonconstruction.ca/services/healthcare-construction/,"Brand-fluff phrase, 0 volume. No page needed."
6,dental office build out,110.0,No,https://www.oberizonconstruction.ca/blog/dental-clinic-build-timeline/ + https://www.oberizonconstruction.ca/blog/dental-clinic-construction-cost-bc/,Substance covered (lease->first patient). Highest-volume term at 110/mo.
7,clinic construction Surrey,0.0,Yes (~#4),https://www.oberizonconstruction.ca/construction/surrey/,"Live, ranking ~#4 vs Medico #3. Gap is proof, not content."
8,medical office design build,0.0,No,https://www.oberizonconstruction.ca/services/medical-clinic-construction/ + https://www.oberizonconstruction.ca/blog/design-build-vs-general-contracting/,Covered across hub + design-build post.
9,clinic construction Victoria,0.0,No,(none - Victoria not served),Medico has a Victoria office; Oberizon does not serve Vancouver Island. Building this page would be a false locality claim.
10,clinic construction Burnaby,0.0,Yes (~#5),https://www.oberizonconstruction.ca/construction/burnaby/,Live and ranking ~#5; Medico absent. Defend with Burnaby proof.
11,commercial renovation,1k,No,https://www.oberizonconstruction.ca/services/commercial-renovation/,1k/mo but national firms dominate. Sheet itself says deprioritize. Agreed.
12,"""healthcare contractor""",0.0,No,https://www.oberizonconstruction.ca/services/healthcare-construction/,Live service hub.
13,clinic construction Coquitlam,0.0,No,https://www.oberizonconstruction.ca/construction/coquitlam/,Page EXISTS but is tier C -> noindex. Needs a project or review to index.
14,medical clinic build out,0.0,No,https://www.oberizonconstruction.ca/services/medical-clinic-construction/,Covered by hub.
15,[dental clinic construction],40.0,No,https://www.oberizonconstruction.ca/services/dental-clinic-construction/,"Live hub, 40/mo."
16,tenant improvement medical clinic,0.0,No,https://www.oberizonconstruction.ca/blog/tenant-improvement-allowance-explained/ + https://www.oberizonconstruction.ca/blog/base-building-vs-tenant-improvement/,Two dedicated posts already cover TI for clinics.
17,dental office construction companies,20.0,No,https://www.oberizonconstruction.ca/services/dental-clinic-construction/,"Live hub, 20/mo."
18,pharmacy build out cost BC,0.0,No (yet),https://www.oberizonconstruction.ca/blog/pharmacy-build-out-cost-bc/,Dedicated cost post live.
19,"""dental clinic design build""",0.0,No,https://www.oberizonconstruction.ca/services/dental-clinic-construction/ + https://www.oberizonconstruction.ca/blog/design-build-vs-general-contracting/,Covered.
20,"""dental clinic build out""",0.0,No,https://www.oberizonconstruction.ca/blog/dental-clinic-construction-cost-bc/,Covered in substance.
21,optometry clinic construction,0.0,No (yet),https://www.oberizonconstruction.ca/blog/optometry-clinic-construction/,Dedicated post live.
22,modern medical clinic design,10.0,No,https://www.oberizonconstruction.ca/blog/clinic-design-trends-bc/,Dedicated 2026 design-trends post live.
23,"""dental office build out""",10.0,No,https://www.oberizonconstruction.ca/blog/dental-office-renovation-checklist/,Covered.
24,"""dental clinic contractor Vancouver""",0.0,No (yet),https://www.oberizonconstruction.ca/construction/vancouver/dental-clinic-construction/,Live city x service page.
25,dental clinic contractor Surrey,0.0,Yes (#1),https://www.oberizonconstruction.ca/construction/surrey/dental-clinic-construction/,Already #1. Hold it.
26,medical clinic construction contractor,0.0,No,https://www.oberizonconstruction.ca/services/medical-clinic-construction/,Covered.
27,healthcare construction company BC,0.0,No (yet),https://www.oberizonconstruction.ca/services/healthcare-construction/,Covered.
28,medical office interior design contractor,10.0,No,(deliberately not claimed),Oberizon does not publish in-house interior design (see comparison table). Claiming it would be a bluff.
29,"""dental clinic contractor White Rock""",0.0,No,https://www.oberizonconstruction.ca/construction/white-rock/dental-clinic-construction/,Live; White Rock is the head office city.
30,healthcare construction BC and Alberta,0.0,No,(BC only),Alberta is Medico's territory. Oberizon serves 14 Lower Mainland/Fraser Valley cities only.
31,"""fast dental clinic contractor""",0.0,Yes (#1),https://www.oberizonconstruction.ca/services/dental-clinic-construction/,Already #1.
32,dental office renovation contractor,0.0,Yes,https://www.oberizonconstruction.ca/services/dental-office-renovation/,Already ranking.
